Band,Channel,Wavelength,RSR
19,1,888.2366,0.01
19,1,888.8527,0.0108
19,1,891.8518,0.01803
19,1,894.8621,0.03043
19,1,897.8589,0.04822
19,1,900.8585,0.07357
19,1,903.8643,0.11647
19,1,906.8505,0.20035
19,1,909.8491,0.34506
19,1,912.8643,0.53555
19,1,915.8563,0.70555
19,1,918.8538,0.80003
19,1,921.856,0.84609
19,1,924.8568,0.89382
19,1,927.8662,0.93404
19,1,930.8651,0.94953
19,1,933.8618,0.95241
19,1,936.8527,0.97146
19,1,939.8618,0.99637
19,1,942.8651,0.9967
19,1,945.8629,1.0
19,1,948.856,0.99092
19,1,951.8657,0.92963
19,1,954.8574,0.78244
19,1,957.8574,0.58198
19,1,960.8502,0.39463
19,1,963.8491,0.25052
19,1,966.8502,0.15413
19,1,969.856,0.09121
19,1,972.8568,0.05377
19,1,975.8672,0.03372
19,1,978.8588,0.02323
19,1,981.8682,0.01757
19,1,984.8627,0.01391
19,1,987.8671,0.01108
19,1,989.1884,0.01
19,2,888.2366,0.01
19,2,888.8527,0.0108
19,2,891.8518,0.01803
19,2,894.8621,0.03043
19,2,897.8589,0.04822
19,2,900.8585,0.07357
19,2,903.8643,0.11647
19,2,906.8505,0.20035
19,2,909.8491,0.34506
19,2,912.8643,0.53555
19,2,915.8563,0.70555
19,2,918.8538,0.80003
19,2,921.856,0.84609
19,2,924.8568,0.89382
19,2,927.8662,0.93404
19,2,930.8651,0.94953
19,2,933.8618,0.95241
19,2,936.8527,0.97146
19,2,939.8618,0.99637
19,2,942.8651,0.9967
19,2,945.8629,1.0
19,2,948.856,0.99092
19,2,951.8657,0.92963
19,2,954.8574,0.78244
19,2,957.8574,0.58198
19,2,960.8502,0.39463
19,2,963.8491,0.25052
19,2,966.8502,0.15413
19,2,969.856,0.09121
19,2,972.8568,0.05377
19,2,975.8672,0.03372
19,2,978.8588,0.02323
19,2,981.8682,0.01757
19,2,984.8627,0.01391
19,2,987.8671,0.01108
19,2,989.1884,0.01
19,3,888.4781,0.01
19,3,889.1165,0.01088
19,3,892.1156,0.01845
19,3,895.1259,0.03156
19,3,898.1227,0.04925
19,3,901.1223,0.07447
19,3,904.1281,0.11826
19,3,907.1143,0.20459
19,3,910.1129,0.35436
19,3,913.1281,0.54941
19,3,916.1201,0.71741
19,3,919.1176,0.80323
19,3,922.1198,0.84187
19,3,925.1205,0.88414
19,3,928.13,0.92023
19,3,931.1289,0.93519
19,3,934.1256,0.94399
19,3,937.1165,0.97007
19,3,940.1255,1.0
19,3,943.1289,0.99259
19,3,946.1266,0.98952
19,3,949.1198,0.97236
19,3,952.1295,0.90282
19,3,955.1212,0.75319
19,3,958.1212,0.55723
19,3,961.114,0.37888
19,3,964.1129,0.23979
19,3,967.114,0.14607
19,3,970.1198,0.08586
19,3,973.1205,0.05061
19,3,976.131,0.03193
19,3,979.1226,0.02225
19,3,982.132,0.01699
19,3,985.1265,0.01342
19,3,988.1309,0.01079
19,3,989.0449,0.01
19,4,888.4265,0.01
19,4,889.2599,0.01116
19,4,892.259,0.01927
19,4,895.2692,0.0323
19,4,898.2661,0.05019
19,4,901.2657,0.07577
19,4,904.2714,0.12014
19,4,907.2576,0.20893
19,4,910.2562,0.3612
19,4,913.2714,0.55648
19,4,916.2635,0.72289
19,4,919.2609,0.80539
19,4,922.2631,0.84162
19,4,925.2639,0.88055
19,4,928.2734,0.91457
19,4,931.2723,0.92966
19,4,934.269,0.94114
19,4,937.2598,0.97032
19,4,940.2689,1.0
19,4,943.2723,0.9894
19,4,946.27,0.98412
19,4,949.2632,0.9633
19,4,952.2728,0.88977
19,4,955.2645,0.73889
19,4,958.2645,0.54674
19,4,961.2573,0.37233
19,4,964.2563,0.23584
19,4,967.2573,0.14324
19,4,970.2631,0.08381
19,4,973.2639,0.04909
19,4,976.2744,0.03094
19,4,979.2659,0.02172
19,4,982.2753,0.01669
19,4,985.2699,0.01338
19,4,988.2743,0.01054
19,4,988.9573,0.01
19,5,888.314,0.01
19,5,889.3013,0.01144
19,5,892.3004,0.01938
19,5,895.3107,0.03225
19,5,898.3076,0.05031
19,5,901.3071,0.07648
19,5,904.3129,0.12165
19,5,907.2991,0.21218
19,5,910.2977,0.36575
19,5,913.3129,0.56098
19,5,916.3049,0.72404
19,5,919.3024,0.80491
19,5,922.3046,0.84532
19,5,925.3054,0.8892
19,5,928.3148,0.92561
19,5,931.3137,0.93758
19,5,934.3104,0.94495
19,5,937.3013,0.97117
19,5,940.3104,1.0
19,5,943.3137,0.99072
19,5,946.3115,0.98831
19,5,949.3046,0.96963
19,5,952.3143,0.89721
19,5,955.306,0.74381
19,5,958.306,0.54536
19,5,961.2988,0.3678
19,5,964.2977,0.23214
19,5,967.2988,0.14145
19,5,970.3046,0.08361
19,5,973.3054,0.04974
19,5,976.3159,0.03131
19,5,979.3074,0.02179
19,5,982.3168,0.01675
19,5,985.3113,0.01332
19,5,988.3157,0.01057
19,5,989.0159,0.01
19,6,888.2491,0.01
19,6,889.2745,0.01154
19,6,892.2736,0.01936
19,6,895.2838,0.03217
19,6,898.2807,0.05006
19,6,901.2803,0.0759
19,6,904.286,0.12143
19,6,907.2722,0.21189
19,6,910.2708,0.36463
19,6,913.286,0.55922
19,6,916.2781,0.72368
19,6,919.2755,0.80432
19,6,922.2777,0.84207
19,6,925.2785,0.88568
19,6,928.288,0.92398
19,6,931.2869,0.93902
19,6,934.2836,0.94741
19,6,937.2744,0.97312
19,6,940.2835,1.0
19,6,943.2869,0.98841
19,6,946.2846,0.98433
19,6,949.2778,0.96594
19,6,952.2874,0.89644
19,6,955.2791,0.74724
19,6,958.2791,0.55019
19,6,961.2719,0.37063
19,6,964.2709,0.2335
19,6,967.2719,0.14166
19,6,970.2777,0.08358
