Band,Channel,Wavelength,RSR
5,1,1212.5487,0.01
5,1,1213.2175,0.01117
5,1,1214.7279,0.01608
5,1,1216.1934,0.02492
5,1,1217.7188,0.03818
5,1,1219.1992,0.04862
5,1,1220.687,0.06678
5,1,1222.1819,0.10054
5,1,1223.6831,0.15332
5,1,1225.1902,0.20849
5,1,1226.7018,0.26656
5,1,1228.217,0.37011
5,1,1229.6803,0.4973
5,1,1231.1991,0.58289
5,1,1232.7174,0.64709
5,1,1234.1801,0.77753
5,1,1235.694,0.88235
5,1,1237.2037,0.88284
5,1,1238.7084,0.92946
5,1,1240.2068,0.97872
5,1,1241.698,0.98165
5,1,1243.1819,0.97627
5,1,1244.7103,1.0
5,1,1246.1779,0.9737
5,1,1247.6896,0.95036
5,1,1249.1931,0.86217
5,1,1250.6893,0.73183
5,1,1252.1791,0.54895
5,1,1253.7145,0.46245
5,1,1255.1946,0.36557
5,1,1256.7229,0.21247
5,1,1258.1991,0.12525
5,1,1259.7267,0.09942
5,1,1261.2052,0.0814
5,1,1262.687,0.05129
5,1,1264.2249,0.0294
5,1,1265.7173,0.02298
5,1,1267.2163,0.02075
5,1,1268.7227,0.01682
5,1,1270.1844,0.01002
5,1,1270.1924,0.01
5,2,1212.5487,0.01
5,2,1213.2175,0.01117
5,2,1214.7279,0.01608
5,2,1216.1934,0.02492
5,2,1217.7188,0.03818
5,2,1219.1992,0.04862
5,2,1220.687,0.06678
5,2,1222.1819,0.10054
5,2,1223.6831,0.15332
5,2,1225.1902,0.20849
5,2,1226.7018,0.26656
5,2,1228.217,0.37011
5,2,1229.6803,0.4973
5,2,1231.1991,0.58289
5,2,1232.7174,0.64709
5,2,1234.1801,0.77753
5,2,1235.694,0.88235
5,2,1237.2037,0.88284
5,2,1238.7084,0.92946
5,2,1240.2068,0.97872
5,2,1241.698,0.98165
5,2,1243.1819,0.97627
5,2,1244.7103,1.0
5,2,1246.1779,0.9737
5,2,1247.6896,0.95036
5,2,1249.1931,0.86217
5,2,1250.6893,0.73183
5,2,1252.1791,0.54895
