name,lat,lon
AAOT,45.3139,12.5083
Abu_Al_Bukhoosh,25.495,53.145833
ARIAKE_TOWER,33.103617,130.27195
ARIAKE_TOWER_2,33.114,130.29
Bahia_Blanca,-39.148333,-61.721667
Banana_River,28.36699,-80.63328
Blyth_NOAH,55.146399,-1.420859
Casablanca_Platform,40.717,1.358
Chesapeake_Bay,39.12351,-76.3489
COVE_SEAPRISM,36.9,-75.71
Frying_Pan_Tower,33.4853,-77.5901
Gageocho_Station,33.941991,124.592912
Galata_Platform,43.044624,28.19319
Gloria,44.59997,29.35967
GOT_Seaprism,9.2862,101.4123
Grizzly_Bay,38.108167,-122.056208
Gustav_Dalen_Tower,58.59417,17.46683
HBOI,27.5343,-80.3569
Helsinki_Lighthouse,59.94897,24.92636
Ieodo_Station,32.122953,125.182447
Irbe_Lighthouse,57.75092,21.72297
KAUST_Campus,22.304833,39.102833
Kemigawa_Offshore,35.610833,140.02333
Lake_Erie,41.8256,-83.1936
Lake_Okeechobee,26.9017,-80.7892
Lake_Okeechobee_N,27.139117,-80.788803
LISCO,40.954517,-73.341767
Lucinda,-18.5198,146.3861
MVCO,41.325,-70.5667
Palgrunden,58.755333,13.1515
PLOCAN_Tower,28.041118,-15.385113
RdP-EsNM,-34.818,-57.8959
Sacramento_River,38.049531,-121.88755
San_Marco_Platform,-2.941667,40.214722
Section-7_Platform,44.5458,29.4466
Socheongcho,37.423133,124.738039
South_Greenbay,44.59633,-87.9512
Thornton_C-power,51.5325,2.955278
USC_SEAPRISM,33.56371,-118.11782
USC_SEAPRISM_2,33.56371,-118.11782
Venise,45.3139,12.5083
WaveCIS_Site_CSI_6,28.866667,-90.483333
Zeebrugge-MOW1,51.362,3.12
